Debut	Fin	Code	NDVI_moyen_BV	NDVI_minimum_BV	NDVI_maximum_BV	NDVI_moyen_Tourbiere_Landemarais	NDVI_minimum_Tourbiere_Landemarais	NDVI_maximum_Tourbiere_Landemarais	NDVI_moyen_Marais_Sougeal	NDVI_minimum_Marais_Sougeal	NDVI_maximum_Marais_Sougeal															
2012-05-25	2012-06-09	145	0,66	0,157	0,914	0,787	0,723	0,823	0,795	0,703	0,849															
2012-06-10	2012-06-25	161	0,611	0,027	0,996	0,768	0,746	0,802	0,711	0,212	0,91															
2012-06-26	2012-07-11	177	0,635	0,017	0,999	0,607	0,307	0,805	0,635	0,232	0,808															
2012-07-12	2012-07-27	193	0,687	0,235	0,908	0,755	0,706	0,818	0,705	0,551	0,773															
2012-07-28	2012-08-12	209	0,72	0,164	0,932	0,785	0,753	0,833	0,739	0,683	0,787															
2012-08-13	2012-08-28	225	0,713	0,311	0,957	0,794	0,767	0,829	0,729	0,685	0,771															
2012-08-29	2012-09-13	241	0,695	0,181	0,922	0,783	0,699	0,861	0,758	0,711	0,788															
2012-09-14	2012-09-29	257	0,682	0,122	0,998	0,774	0,749	0,808	0,737	0,677	0,845															
2012-09-30	2012-10-15	273	0,707	0,095	0,997	0,782	0,745	0,801	0,731	0,681	0,76															
2012-10-16	2012-10-31	289	0,69	0,173	0,927	0,735	0,633	0,822	0,775	0,66	0,83															
2012-11-01	2012-11-16	305	0,685	0,216	0,876	0,745	0,708	0,775	0,772	0,735	0,797															
