"Date","RH2M","T2M","TS","T2M_MAX","T2M_MIN"
2011-09-14,76.12,13.93,14.8,20.63,7.26
2011-09-15,73,15.37,15.7,22.19,9.19
2011-09-16,72.81,16.8,17.09,24.1,11.39
2011-09-17,86,13.8,13.51,17.02,9.03
2011-09-18,82.56,12.37,12.4,17.05,7.8
2011-09-19,82.56,14.73,14.91,19.98,11.26
2011-09-20,82.06,15.02,15.13,19.83,10.4
2011-09-21,77.5,16.3,16.62,21.48,11.74
2011-09-22,80,13.84,14.48,20.19,7.76
2011-09-23,77.12,14.48,14.4,21.17,8.46
2011-09-24,78.5,15.12,15.23,22.64,8.88
2011-09-25,83.81,16.44,16.48,22.94,11.03
2011-09-26,84.88,18.21,17.71,23.51,14.57
2011-09-27,77,19.59,19.44,26.78,14
2011-09-28,71.31,19.8,19.33,26.72,14.48
2011-09-29,71.06,19.68,19.24,27.83,13.05
2011-09-30,66.31,19.5,18.81,28.05,13.12
2011-10-01,64.62,18.98,18.55,27.05,13.01
2011-10-02,63.94,18.72,18.06,27.69,11.62
2011-10-03,72.19,18.18,17.33,26.35,11.1
2011-10-04,81.12,17.2,17.5,22.4,13.26
2011-10-05,82.19,17.11,17.43,22.77,12.73
2011-10-06,75.44,15.06,15.05,18.03,9.81
2011-10-07,75.69,11.87,12.02,16.08,8.88
2011-10-08,76.5,13.26,13.33,16.37,10.97
2011-10-09,84.75,15.71,15.83,20.4,12.62
2011-10-10,86.06,15.62,15.73,20.09,12.38
2011-10-11,85.25,15.6,15.79,21.79,11.27
2011-10-12,86.25,14.52,14.61,19.73,10.73
2011-10-13,88.94,15.12,15.15,20.69,10.83
2011-10-14,80.5,13.26,13.47,19.58,7.87
2011-10-15,68.88,10.68,9.85,17.83,4.12
2011-10-16,81.69,12.27,11.12,18.98,5.87
2011-10-17,83.56,12.96,12.62,20.23,6.98
2011-10-18,87.44,11.67,11.33,13.9,8.05
2011-10-19,79.56,8.78,8.64,13.57,5.36
2011-10-20,74.62,8.45,8.15,13.26,4.9
2011-10-21,70.25,7.03,7.04,13.59,2.65
2011-10-22,82.44,8.25,8.3,16.76,0.76
2011-10-23,75.69,13.94,13.65,20.13,8.27
2011-10-24,86.94,13.08,12.67,16.94,9.48
2011-10-25,85.38,10.48,10.05,13.16,8.46
2011-10-26,83.19,11.29,10.86,14.7,7.95
2011-10-27,88.19,11.94,11.28,16.09,9.32
2011-10-28,90.69,13.26,13.06,17.73,10.51
2011-10-29,91.19,12.44,12.18,17.12,9.69
2011-10-30,90.38,13.56,13.33,18.12,10.49
2011-10-31,85.5,13.17,13.03,18.08,9.66
2011-11-01,84.69,11.74,11.47,16.47,8.25
2011-11-02,84.88,13.93,13.74,20.19,8.31
2011-11-03,91.69,14.31,13.8,17.11,10.73
2011-11-04,91.94,12.19,11.55,15.48,9.44
2011-11-05,89.31,11.84,11.54,14.23,9.62
2011-11-06,84.75,11.77,11.64,13.62,10.68
2011-11-07,88.81,11.61,11.51,13.85,10.26
2011-11-08,92.69,10.54,10.35,12.27,9.4
2011-11-09,89.5,11.66,11.36,16.58,8.69
2011-11-10,96.81,10.67,10.34,14.02,8.56
2011-11-11,92.75,12.61,12.3,18.22,9.19
2011-11-12,91.88,13.26,12.65,18.33,9.43
2011-11-13,88.62,12.93,12.61,19.04,9
2011-11-14,86.12,10.83,10.64,15.07,7.46
2011-11-15,90.75,9.78,9.7,15.08,5.95
2011-11-16,90.75,11.35,11.07,15.47,9.19
2011-11-17,89.38,9.43,8.96,14.34,5.77
2011-11-18,82.69,10.23,9.9,15.36,7.46
2011-11-19,86.25,10.5,10.26,15.6,7.3
2011-11-20,87.31,10.69,10.46,16.65,7.25
2011-11-21,94.31,10.87,10.42,15.09,7.73
2011-11-22,94.19,11.07,10.7,16.1,7.98
2011-11-23,88.31,10.1,9.62,13.28,7.81
2011-11-24,94.31,8.29,7.86,12.26,5.44
2011-11-25,91.56,9.38,8.9,14.38,6.09
2011-11-26,91.81,7.69,6.52,12.05,2.33
2011-11-27,90.94,10.68,10.14,13.87,6.94
2011-11-28,97,9.41,9.06,13.31,6.41
2011-11-29,92.81,9.62,9.22,14.22,5.5
2011-11-30,88.75,8.28,8.01,12.26,4.55
2011-12-01,94.31,12.62,12.09,14.4,9.29
2011-12-02,86,7.65,7.19,10.39,5.17
2011-12-03,94.62,10.57,10.08,12.38,7.63
2011-12-04,93.56,11.27,10.83,13.55,7.44
2011-12-05,87.25,6.18,5.78,9.62,3.18
2011-12-06,93.81,7.01,6.67,9.46,4.87
2011-12-07,92.75,9.08,8.49,12.31,5.55
2011-12-08,95.25,9.45,9.06,11.38,5.72
2011-12-09,94.38,8.12,7.75,10.53,5.79
2011-12-10,87.94,4.76,3.37,9.19,0.4
2011-12-11,97.94,4.38,3.89,9.05,-0.85
2011-12-12,89.69,6.96,6.53,11.81,2.39
2011-12-13,81.81,10.04,9.52,12.73,7.66
